continent,country,position,positionlabel,officeholder,officeholderlabel,start_year,end_year
Africa,Libya,Q1074191,Prime Minister of the State of Libya,Q105319569,Abdul Hamid Dbeibeh,2021,
Africa,Libya,Q1074191,Prime Minister of the State of Libya,Q63285566,Fathi Bashagha,2022,
Africa,Madagascar,Q853010,President of Madagascar,Q57363,Andry Rajoelina,2019,
Africa,Madagascar,Q1147512,Prime Minister of Madagascar,Q54806925,Christian Ntsay,2018,
Africa,Malawi,Q15921529,President of Malawi,Q16202782,Lazarus Chakwera,2020,
Africa,Mali,Q862232,President of Mali,Q98497406,Assimi Goïta,2021,
Africa,Mali,Q1264364,Prime Minister of Mali,Q2964323,Choguel Kokalla Maïga,2021,
Africa,Mauritania,Q1622311,President of Mauritania,Q12241106,Mohamed Ould Ghazouani,2019,
Africa,Mauritania,Q3179769,Prime Minister of Mauritania,Q98137599,Mohamed Ould Bilal,2020,
Africa,Mauritius,Q3286988,President of Mauritius,Q77311543,Pritvirajsing Roopun,2019,
Africa,Mauritius,Q1826694,Prime Minister of Mauritius,Q3401447,Pravind Jugnauth,2017,
Africa,Morocco,Q257009,King of Morocco,Q57553,Mohammed VI of Morocco,1999,
Africa,Morocco,Q19842743,Prime Minister of Morocco,Q1638114,Aziz Akhannouch,2021,
Africa,Mozambique,Q384419,President of Mozambique,Q5448556,Filipe Nyusi,2015,
Africa,Mozambique,Q2345072,Prime Minister of Mozambique,Q19057400,Carlos Agostinho do Rosário,2015,2022
Africa,Mozambique,Q2345072,Prime Minister of Mozambique,Q44275924,Adriano Maleiane,2022,
Africa,Namibia,Q647198,President of Namibia,Q1568274,Hage Geingob,2015,
Africa,Namibia,Q1333976,Prime Minister of Namibia,Q7395683,Saara Kuugongelwa,2015,
Africa,Niger,Q1976572,President of Niger,Q3318398,Mohamed Bazoum,2021,
Africa,Niger,Q2250451,Prime Minister of Niger,Q7110324,Ouhoumoudou Mahamadou,2021,
Africa,Nigeria,Q500282,President of Nigeria,Q361567,Muhammadu Buhari,2015,
Africa,Rwanda,Q596565,President of Rwanda,Q1231345,Paul Kagame,2000,
Africa,Rwanda,Q2590706,Prime Minister of Rwanda,Q38188115,Édouard Ngirente,2017,
Africa,Sahrawi Arab Democratic Republic,Q2662118,President of the Sahrawi Arab Democratic Republic,Q4955460,Brahim Ghali,2016,
Africa,Sahrawi Arab Democratic Republic,Q30102468,Prime Minister of Western Sahara,Q4949324,Bouchraya Hammoudi Bayoun,2020,
Africa,São Tomé and Príncipe,Q878165,President of São Tomé and Príncipe,Q27982047,Carlos Vila Nova,2021,
Africa,São Tomé and Príncipe,Q942210,Prime Minister of São Tomé and Príncipe,Q57085436,Jorge Bom Jesus,2018,
Africa,Senegal,Q845245,President of Senegal,Q57438,Macky Sall,2012,
Africa,Seychelles,Q378039,President of Seychelles,Q1568174,Wavel Ramkalawan,2020,
Africa,Sierra Leone,Q890010,President of Sierra Leone,Q283829,Julius Maada Bio,2018,
Africa,Sierra Leone,Q6622054,List of heads of government of Sierra Leone,Q107067181,Jacob Jusu Saffa,2021,
Africa,Somalia,Q19364214,President of Somalia,Q558575,Mohamed Abdullahi Mohamed,2017,
Africa,Somalia,Q1335939,Prime Minister of Somalia,Q99605101,Mohamed Hussein Roble,2020,
Africa,Somaliland,Q25906534,President of Somaliland,Q17155777,Muse Bihi Abdi,2017,
Africa,South Africa,Q273884,President of South Africa,Q1148669,Cyril Ramaphosa,2018,
Africa,South Sudan,Q258969,President of South Sudan,Q57315,Salva Kiir Mayardit,2005,
Africa,Sudan,Q740395,President of Sudan,Q63111184,Abdel Fattah al-Burhan,2019,
Africa,Sudan,Q741259,List of heads of government of Sudan,Q27654948,Abdalla Hamdok,2021,2022
Africa,Sudan,Q741259,List of heads of government of Sudan,Q110629734,Osman Hussein (Sudan politician),2022,
Africa,Tanzania,Q7241291,President of Tanzania,Q16193885,Samia Suluhu Hassan,2021,
Africa,Tanzania,Q16147875,Prime Minister of Tanzania,Q6737420,Kassim Majaliwa,2015,
Africa,Togo,Q866730,President of Togo,Q4414,Faure Gnassingbé,2005,
Africa,Togo,Q1187629,Prime Minister of Togo,Q16682496,Victoire Tomegah Dogbé,2020,
Africa,Tunisia,Q14911897,President of Tunisia,Q16120878,Kais Saied,2019,
